"Core Project Number","Affiliation","Pub Year","Authors","Country","ISSN","Journal Issue","Journal (Link to PubMed abstract)","Journal Title ABBR","Journal Volume","Language","Page Number","PMC ID","PMID","PUB Date","Title (Link to full-text in PubMed Central)","Related Publications in PubMed","Related Publications in Google Scholar","Articles Citing from PubMed Central","Articles Citing from Google Scholar","Clinical Trials cited","Relative Citation Ratio",
"ZIADK075071"," ","2021","Morales, Liza D; Cromack, Douglas T; Tripathy, Devjit; Fourcaudot, Marcel; Kumar, Satish; Curran, Joanne E; Carless, Melanie; Göring, Harald H H; Hu, Shirley L; Lopez-Alvarenga, Juan Carlos; Garske, Kristina M; Pajukanta, Päivi; Small, Kerrin S; Glastonbury, Craig A; Das, Swapan K; Langefeld, Carl; Hanson, Robert L; Hsueh, Wen-Chi; Norton, Luke; Arya, Rector; Mummidi, Srinivas; Blangero, John; DeFronzo, Ralph A; Duggirala, Ravindranath; Jenkinson, Christopher P","England","2045-2322","1","<a href='https://www.ncbi.nlm.nih.gov/pubmed/33479282'>Scientific reports</a>","Sci Rep","11","eng","1932","7820614","33479282","2021 01 21","<a href='https://www.ncbi.nlm.nih.gov/pubmed/7820614'>Further evidence supporting a potential role for ADH1B in obesity.</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=33479282&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?q=related:https://www.ncbi.nlm.nih.gov/pubmed/33479282'>Related, Google Scholar</a>","<a href='https://www.pubmedcentral.nih.gov/tocrender.fcgi?artid=7820614&action=cited'>Cited By, PMC</a>","<a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://www.ncbi.nlm.nih.gov/pubmed/7820614'>Cited By, Google</a>"," "," ",
"ZIADK075021"," ","2021","Meister, Jaroslawna; Wang, Lei; Pydi, Sai P; Wess, Jürgen","England","1471-4159","3","<a href='https://www.ncbi.nlm.nih.gov/pubmed/33540469'>Journal of neurochemistry</a>","J Neurochem","158","eng","603-620"," ","33540469","2021 Aug","Chemogenetic approaches to identify metabolically important GPCR signaling pathways: Therapeutic implications.","<a href='https://www.ncbi.nlm.nih.gov/pubmed?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=33540469&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?q=related:https://www.ncbi.nlm.nih.gov/pubmed/33540469'>Related, Google Scholar</a>"," ","<a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://www.ncbi.nlm.nih.gov/pubmed/'>Cited By, Google</a>"," "," ",
"ZIADK060103"," ","2021","Andersson, Björn; Tan, Ee Phie; McGreal, Steven R; Apte, Udayan; Hanover, John A; Slawson, Chad; Lagerlöf, Olof","England","1095-8304"," ","<a href='https://www.ncbi.nlm.nih.gov/pubmed/34029673'>Appetite</a>","Appetite","165","eng","105320"," ","34029673","2021 10 01","O-GlcNAc cycling mediates energy balance by regulating caloric memory.","<a href='https://www.ncbi.nlm.nih.gov/pubmed?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=34029673&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?q=related:https://www.ncbi.nlm.nih.gov/pubmed/34029673'>Related, Google Scholar</a>"," ","<a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://www.ncbi.nlm.nih.gov/pubmed/'>Cited By, Google</a>"," "," ",
"ZIADK047052"," ","2021","Cook, Keziah; Ali, Omer; Akinci, Baris; Foss de Freitas, Maria Cristina; Montenegro, Renan Magalhães; Fernandes, Virginia Oliveira; Gupta, Deepshekhar; Lou, Kai-Jye; Tuttle, Edward; Oral, Elif A; Brown, Rebecca J","United States","1945-7197","8","<a href='https://www.ncbi.nlm.nih.gov/pubmed/33822100'>The Journal of clinical endocrinology and metabolism</a>","J Clin Endocrinol Metab","106","eng","e2953-e2967","8277211","33822100","2021 07 13","<a href='https://www.ncbi.nlm.nih.gov/pubmed/8277211'>Effect of Leptin Therapy on Survival in Generalized and Partial Lipodystrophy: A Matched Cohort Analysis.</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=33822100&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?q=related:https://www.ncbi.nlm.nih.gov/pubmed/33822100'>Related, Google Scholar</a>","<a href='https://www.pubmedcentral.nih.gov/tocrender.fcgi?artid=8277211&action=cited'>Cited By, PMC</a>","<a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://www.ncbi.nlm.nih.gov/pubmed/8277211'>Cited By, Google</a>"," "," ",
"ZICDK071013"," ","2021","Manoli, Irini; Pass, Alexandra R; Harrington, Elizabeth A; Sloan, Jennifer L; Gagné, Jack; McCoy, Samantha; Bell, Sarah L; Hattenbach, Jacob D; Leitner, Brooks P; Duckworth, Courtney J; Fletcher, Laura A; Cassimatis, Thomas M; Galarreta, Carolina I; Thurm, Audrey; Snow, Joseph; Van Ryzin, Carol; Ferry, Susan; Mew, Nicholas Ah; Shchelochkov, Oleg A; Chen, Kong Y; Venditti, Charles P","United States","1530-0366"," ","<a href='https://www.ncbi.nlm.nih.gov/pubmed/33972722'>Genetics in medicine : official journal of the American College of Medical Genetics</a>","Genet Med"," ","eng"," "," ","33972722","2021 May 10","Correction to: 1-13C-propionate breath testing as a surrogate endpoint to assess efficacy of liver-directed therapies in methylmalonic acidemia (MMA).","<a href='https://www.ncbi.nlm.nih.gov/pubmed?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=33972722&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?q=related:https://www.ncbi.nlm.nih.gov/pubmed/33972722'>Related, Google Scholar</a>"," ","<a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://www.ncbi.nlm.nih.gov/pubmed/'>Cited By, Google</a>"," "," ",
"ZIADK060103"," ","2021","Oliveira-Nunes, Maria Cecilia; Julião, Glaucia; Menezes, Aline; Mariath, Fernanda; Hanover, John A; Evaristo, Joseph Albert Medeiros; Nogueira, Fábio César Sousa; Dias, Wagner Barbosa; de Abreu Pereira, Denise; Carneiro, Katia","England","1542-6416","1","<a href='https://www.ncbi.nlm.nih.gov/pubmed/33902430'>Clinical proteomics</a>","Clin Proteomics","18","eng","14","8074421","33902430","2021 Apr 26","<a href='https://www.ncbi.nlm.nih.gov/pubmed/8074421'>O-GlcNAcylation protein disruption by Thiamet G promotes changes on the GBM U87-MG cells secretome molecular signature.</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=33902430&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?q=related:https://www.ncbi.nlm.nih.gov/pubmed/33902430'>Related, Google Scholar</a>","<a href='https://www.pubmedcentral.nih.gov/tocrender.fcgi?artid=8074421&action=cited'>Cited By, PMC</a>","<a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://www.ncbi.nlm.nih.gov/pubmed/8074421'>Cited By, Google</a>"," "," ",
"ZIADK060103"," ","2021","Mathur, Bhoomika; Shajahan, Asif; Arif, Waqar; Chen, Qiushi; Hand, Nicholas J; Abramowitz, Lara K; Schoonjans, Kristina; Rader, Daniel J; Kalsotra, Auinash; Hanover, John A; Azadi, Parastoo; Anakk, Sayeepriyadarshini","United States","2375-2548","17","<a href='https://www.ncbi.nlm.nih.gov/pubmed/33883138'>Science advances</a>","Sci Adv","7","eng"," ","8059921","33883138","2021 Apr","<a href='https://www.ncbi.nlm.nih.gov/pubmed/8059921'>Nuclear receptors FXR and SHP regulate protein N-glycan modifications in the liver.</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=33883138&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?q=related:https://www.ncbi.nlm.nih.gov/pubmed/33883138'>Related, Google Scholar</a>","<a href='https://www.pubmedcentral.nih.gov/tocrender.fcgi?artid=8059921&action=cited'>Cited By, PMC</a>","<a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://www.ncbi.nlm.nih.gov/pubmed/8059921'>Cited By, Google</a>"," "," ",
"ZIADK047052"," ","2021","Nguyen, My-Le; Sachdev, Vandana; Burklow, Thomas R; Li, Wen; Startzell, Megan; Auh, Sungyoung; Brown, Rebecca J","United States","1945-7197","11","<a href='https://www.ncbi.nlm.nih.gov/pubmed/34223895'>The Journal of clinical endocrinology and metabolism</a>","J Clin Endocrinol Metab","106","eng","e4327-e4339","8530723","34223895","2021 10 21","Leptin Attenuates Cardiac Hypertrophy in Patients With Generalized Lipodystrophy.","<a href='https://www.ncbi.nlm.nih.gov/pubmed?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=34223895&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?q=related:https://www.ncbi.nlm.nih.gov/pubmed/34223895'>Related, Google Scholar</a>","<a href='https://www.pubmedcentral.nih.gov/tocrender.fcgi?artid=8530723&action=cited'>Cited By, PMC</a>","<a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://www.ncbi.nlm.nih.gov/pubmed/8530723'>Cited By, Google</a>"," "," ",
"ZIADK013022"," ","2021","Filho, Tarcisio Rocha; Mendes, José; Chow, Carson; Phillips, James; Cordeiro, Antônio; Scorza, Fulvio; Almeida, Antonio-Carlos; Moret, Marcelo","United States"," "," ","<a href='https://www.ncbi.nlm.nih.gov/pubmed/34268503'>Research square</a>","Res Sq"," ","eng"," ","8282102","34268503","2021 Jul 08","<a href='https://www.ncbi.nlm.nih.gov/pubmed/8282102'>Attack rate and the price of SARS-CoV-2 herd immunity in Brazil.</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=34268503&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?q=related:https://www.ncbi.nlm.nih.gov/pubmed/34268503'>Related, Google Scholar</a>","<a href='https://www.pubmedcentral.nih.gov/tocrender.fcgi?artid=8282102&action=cited'>Cited By, PMC</a>","<a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://www.ncbi.nlm.nih.gov/pubmed/8282102'>Cited By, Google</a>"," "," ",
"ZIADK013037"," ","2021","Guyenet, Stephan J; Hall, Kevin D","United States","1541-6100","8","<a href='https://www.ncbi.nlm.nih.gov/pubmed/34363484'>The Journal of nutrition</a>","J Nutr","151","eng","2496-2497"," ","34363484","2021 Aug 07","Overestimated Impact of Lower-Carbohydrate Diets on Total Energy Expenditure.","<a href='https://www.ncbi.nlm.nih.gov/pubmed?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=34363484&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?q=related:https://www.ncbi.nlm.nih.gov/pubmed/34363484'>Related, Google Scholar</a>"," ","<a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://www.ncbi.nlm.nih.gov/pubmed/'>Cited By, Google</a>"," "," ",
"ZIADK055105"," ","2021","Lee, Ji-Hyun; Lee, Ji-Hyeon; Rane, Sushil G","United States","1945-7170","3","<a href='https://www.ncbi.nlm.nih.gov/pubmed/33349851'>Endocrinology</a>","Endocrinology","162","eng"," ","8240135","33349851","2021 03 01","<a href='https://www.ncbi.nlm.nih.gov/pubmed/8240135'>TGF-β Signaling in Pancreatic Islet β Cell Development and Function.</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=33349851&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?q=related:https://www.ncbi.nlm.nih.gov/pubmed/33349851'>Related, Google Scholar</a>","<a href='https://www.pubmedcentral.nih.gov/tocrender.fcgi?artid=8240135&action=cited'>Cited By, PMC</a>","<a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://www.ncbi.nlm.nih.gov/pubmed/8240135'>Cited By, Google</a>"," "," ",
"ZIADK075007"," ","2021","Lightbourne, Marissa; Wolska, Anna; Abel, Brent S; Rother, Kristina I; Walter, Mary; Kushchayeva, Yevgeniya; Auh, Sungyoung; Shamburek, Robert D; Remaley, Alan T; Muniyappa, Ranganath; Brown, Rebecca J","United States","2472-1972","2","<a href='https://www.ncbi.nlm.nih.gov/pubmed/33442570'>Journal of the Endocrine Society</a>","J Endocr Soc","5","eng","bvaa191","7787426","33442570","2021 Feb 01","<a href='https://www.ncbi.nlm.nih.gov/pubmed/7787426'>Apolipoprotein CIII and Angiopoietin-like Protein 8 are Elevated in Lipodystrophy and Decrease after Metreleptin.</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=33442570&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?q=related:https://www.ncbi.nlm.nih.gov/pubmed/33442570'>Related, Google Scholar</a>","<a href='https://www.pubmedcentral.nih.gov/tocrender.fcgi?artid=7787426&action=cited'>Cited By, PMC</a>","<a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://www.ncbi.nlm.nih.gov/pubmed/7787426'>Cited By, Google</a>"," ",0.48
